comment_text,label
"You are doing great work, keep learning.",0
"Excellent answer, I really appreciate your effort.",0
You are a kind and helpful person.,0
This project idea is very useful.,0
"Good job, your explanation is clear.",0
I respect your opinion even if I disagree.,0
Your presentation was nice and professional.,0
Thank you for helping me with this task.,0
This is a normal comment about school work.,0
You improved a lot in this assignment.,0
I like the way you solved this problem.,0
Please explain this topic again.,0
Your code is working fine now.,0
Have a nice day and stay positive.,0
This discussion is useful for everyone.,0
You are welcome in our group.,0
I hope you succeed in your exams.,0
This is a friendly message.,0
Your idea makes sense.,0
Let's work together on this project.,0
"Nice explanation brother, keep it up.",0
The answer is correct and simple.,0
I agree with your point.,0
This looks clean and professional.,0
You handled the question well.,0
Your notes helped me understand.,0
Please share the file when ready.,0
This topic is interesting.,0
Your work is neat.,0
The system is working properly.,0
You are smart and hardworking.,0
Your project looks professional.,0
That was a helpful comment.,0
I appreciate your support.,0
You explained the topic very well.,0
"Keep going, you are improving.",0
This is a positive message.,0
I am proud of your effort.,0
Your idea is creative.,0
Thanks for sharing your opinion.,0
I understand your point.,0
This is a respectful comment.,0
Your answer helped the class.,0
You are a good team member.,0
This work is useful for presentation.,0
You solved it correctly.,0
"Nice work, continue like this.",0
This comment is safe and respectful.,0
You are welcome here.,0
Your thinking is clear.,0
You are stupid and useless.,1
"Nobody likes you, stop talking.",1
You are such a loser.,1
"Get lost, your work is trash.",1
I hate you and your comments.,1
You should be ashamed of yourself.,1
Your message is ugly and disgusting.,1
You are worthless in this group.,1
"Shut up, nobody wants to hear you.",1
You are dumb and annoying.,1
Everyone should ignore this idiot.,1
Your project is garbage and so are you.,1
I will make everyone laugh at you.,1
You are a complete failure.,1
"Stop posting, you are embarrassing yourself.",1
You deserve to be insulted.,1
"Your opinion is nonsense, idiot.",1
"Go away, nobody needs you here.",1
You are the worst person in class.,1
I will humiliate you online.,1
You are a fool and everyone knows it.,1
Your words are useless.,1
"Stop acting smart, you are nothing.",1
You are disgusting and pathetic.,1
I will keep making fun of you.,1
You cannot do anything right.,1
Your message is stupid.,1
Nobody cares about your life.,1
You are a joke.,1
I will embarrass you in front of everyone.,1
You are an idiot.,1
Your face is ugly.,1
You are useless in this team.,1
Nobody wants you here.,1
You are pathetic and dumb.,1
Your work is trash.,1
Everyone hates you.,1
"Stop talking, you fool.",1
You are a bad person.,1
I will insult you again.,1
You are worthless.,1
You are annoying everyone.,1
This idiot should leave.,1
Your comment is garbage.,1
You are the dumbest person here.,1
I will make fun of your work.,1
You should not speak.,1
Go away loser.,1
You are nothing.,1
I hate your stupid ideas.,1
